== ID ==,== Velocity (km/h) ==,== Current route ==,== Distance traveled (m) ==,== Destination ==,== Distance to destination (m) ==,== Type ==,== Battery level (%) ==,== Timestamp ==
ev1,0.0,E165,0.0,E103,1390.74,evehicle,50.0,2026-01-01 00:00:00
ev1,7.13,E165,1.6,E103,1389.14,evehicle,50.0,2026-01-01 00:00:00
ev1,14.87,E165,5.3,E103,1385.44,evehicle,50.0,2026-01-01 00:00:00
ev1,22.68,E165,11.07,E103,1379.67,evehicle,49.97,2026-01-01 00:00:00
ev1,30.64,E165,19.06,E103,1371.68,evehicle,49.94,2026-01-01 00:00:00
ev1,39.17,E165,29.36,E103,1361.38,evehicle,49.91,2026-01-01 00:00:00
ev1,46.8,E165,41.91,E103,1348.83,evehicle,49.86,2026-01-01 00:00:00
ev1,46.84,E165,54.88,E103,1335.86,evehicle,49.86,2026-01-01 00:00:00
ev1,46.66,E165,67.72,E103,1323.02,evehicle,49.86,2026-01-01 00:00:00
ev1,45.29,E165,80.54,E103,1310.2,evehicle,49.86,2026-01-01 00:00:00
ev1,45.25,E165,93.33,E103,1297.41,evehicle,49.86,2026-01-01 00:00:00
ev1,45.18,E165,105.95,E103,1284.79,evehicle,49.86,2026-01-01 00:00:00
ev1,46.98,E165,118.88,E103,1271.86,evehicle,49.83,2026-01-01 00:00:00
ev1,45.65,E165,131.63,E103,1259.11,evehicle,49.86,2026-01-01 00:00:00
ev1,45.18,E165,144.21,E103,1246.53,evehicle,49.86,2026-01-01 00:00:00
ev1,45.97,E165,156.96,E103,1233.78,evehicle,49.83,2026-01-01 00:00:00
ev1,45.47,E165,169.75,E103,1220.99,evehicle,49.83,2026-01-01 00:00:00
ev1,45.58,E165,182.64,E103,1208.1,evehicle,49.83,2026-01-01 00:00:00
ev1,47.09,E165,195.64,E103,1195.1,evehicle,49.83,2026-01-01 00:00:00
ev1,45.65,E165,208.5,E103,1182.24,evehicle,49.83,2026-01-01 00:00:00
ev1,45.25,E165,221.07,E103,1169.67,evehicle,49.83,2026-01-01 00:00:00
ev1,45.47,E165,233.74,E103,1157.0,evehicle,49.83,2026-01-01 00:00:00
ev1,46.22,E165,246.73,E103,1144.01,evehicle,49.83,2026-01-01 00:00:00
ev1,46.98,E165,259.57,E103,1131.17,evehicle,49.8,2026-01-01 00:00:00
ev1,46.33,E165,272.4,E103,1118.34,evehicle,49.8,2026-01-01 00:00:00
ev1,39.92,E165,284.45,E103,1106.29,evehicle,49.83,2026-01-01 00:00:00
ev1,30.31,:J116_3,293.08,E103,1090.55,evehicle,49.89,2026-01-01 00:00:00
ev1,30.56,E166,301.64,E103,1081.99,evehicle,49.86,2026-01-01 00:00:00
ev1,36.22,E166,311.26,E103,1072.37,evehicle,49.86,2026-01-01 00:00:00
ev1,43.34,E166,322.68,E103,1060.95,evehicle,49.8,2026-01-01 00:00:00
ev1,34.74,E166,333.3,E103,1050.33,evehicle,49.86,2026-01-01 00:00:00
ev1,25.7,:J117_3,340.58,E103,1050.16,evehicle,49.89,2026-01-01 00:00:00
ev1,28.51,E167,348.06,E103,1042.68,evehicle,49.86,2026-01-01 00:00:00
ev1,35.93,E167,357.56,E103,1033.18,evehicle,49.83,2026-01-01 00:00:00
ev1,42.66,E167,368.93,E103,1021.81,evehicle,49.8,2026-01-01 00:00:00
ev1,46.01,E167,381.83,E103,1008.91,evehicle,49.77,2026-01-01 00:00:00
ev1,46.08,E167,394.65,E103,996.09,evehicle,49.77,2026-01-01 00:00:00
ev1,30.96,E167,404.32,E103,986.42,evehicle,49.83,2026-01-01 00:00:00
ev1,26.17,:J76_15,411.2,E103,979.54,evehicle,49.86,2026-01-01 00:00:00
ev1,31.61,:J76_15,419.83,E103,970.91,evehicle,49.83,2026-01-01 00:00:00
ev1,31.46,:J76_15,428.55,E103,962.19,evehicle,49.83,2026-01-01 00:00:00
ev1,35.17,:J31_6,437.86,E103,952.88,evehicle,49.8,2026-01-01 00:00:00
ev1,43.67,-E57,449.38,E103,941.36,evehicle,49.77,2026-01-01 00:00:00
ev1,46.12,-E57,462.35,E103,928.39,evehicle,49.74,2026-01-01 00:00:00
ev1,37.55,-E57,473.91,E103,916.83,evehicle,49.77,2026-01-01 00:00:00
ev1,21.67,:J28_4,481.05,E103,909.69,evehicle,49.83,2026-01-01 00:00:00
ev1,20.74,:J28_4,486.93,E103,903.81,evehicle,49.83,2026-01-01 00:00:00
ev1,23.36,-E17,493.04,E103,897.7,evehicle,49.83,2026-01-01 00:00:00
ev1,31.46,-E17,501.16,E103,889.58,evehicle,49.8,2026-01-01 00:00:00
ev1,36.04,-E17,511.18,E103,879.56,evehicle,49.77,2026-01-01 00:00:00
ev1,21.67,-E17,518.16,E103,872.58,evehicle,49.83,2026-01-01 00:00:00
ev1,29.41,:J26_15,525.85,E103,864.89,evehicle,49.8,2026-01-01 00:00:00
ev1,31.0,:J26_15,534.42,E103,856.32,evehicle,49.8,2026-01-01 00:00:00
ev1,31.0,-E15,542.9,E103,847.84,evehicle,49.77,2026-01-01 00:00:00
ev1,37.94,-E15,552.92,E103,837.82,evehicle,49.74,2026-01-01 00:00:00
ev1,44.03,-E15,564.75,E103,825.99,evehicle,49.71,2026-01-01 00:00:00
ev1,45.61,:J0_8,577.41,E103,813.33,evehicle,49.71,2026-01-01 00:00:00
ev1,46.66,-pitagoras,590.26,E103,800.48,evehicle,49.71,2026-01-01 00:00:00
ev1,43.42,-pitagoras,602.73,E103,788.01,evehicle,49.71,2026-01-01 00:00:00
ev1,27.54,-pitagoras,611.51,E103,779.23,evehicle,49.77,2026-01-01 00:00:00
ev1,22.1,:J5_4,617.31,E103,773.43,evehicle,49.8,2026-01-01 00:00:00
ev1,20.3,:J5_4,622.95,E103,767.79,evehicle,49.8,2026-01-01 00:00:00
ev1,25.34,-joulesB,629.55,E103,761.19,evehicle,49.77,2026-01-01 00:00:00
ev1,33.8,-joulesB,638.31,E103,752.43,evehicle,49.74,2026-01-01 00:00:00
ev1,36.9,-joulesB,648.58,E103,742.16,evehicle,49.71,2026-01-01 00:00:00
ev1,22.5,:J2_10,655.85,E103,734.89,evehicle,49.77,2026-01-01 00:00:00
ev1,30.24,:J2_11,663.66,E103,727.08,evehicle,49.74,2026-01-01 00:00:00
ev1,32.76,:J2_11,672.69,E103,718.05,evehicle,49.74,2026-01-01 00:00:00
ev1,34.78,euler,681.86,E103,708.88,evehicle,49.71,2026-01-01 00:00:00
ev1,43.31,euler,693.32,E103,697.42,evehicle,49.69,2026-01-01 00:00:00
ev1,46.84,:J7_8,706.38,E103,684.36,evehicle,49.66,2026-01-01 00:00:00
ev1,46.22,:J7_8,719.29,E103,671.45,evehicle,49.66,2026-01-01 00:00:00
ev1,46.01,E9,731.99,E103,658.75,evehicle,49.66,2026-01-01 00:00:00
ev1,45.0,E9,744.64,E103,646.1,evehicle,49.66,2026-01-01 00:00:00
ev1,29.59,E9,753.87,E103,636.87,evehicle,49.71,2026-01-01 00:00:00
ev1,21.82,:J20_2,759.92,E103,630.82,evehicle,49.74,2026-01-01 00:00:00
ev1,20.2,E10,765.71,E103,625.03,evehicle,49.74,2026-01-01 00:00:00
ev1,26.86,E10,772.81,E103,617.93,evehicle,49.71,2026-01-01 00:00:00
ev1,33.95,E10,781.66,E103,609.08,evehicle,49.69,2026-01-01 00:00:00
ev1,40.25,:J21_7,792.51,E103,598.23,evehicle,49.66,2026-01-01 00:00:00
ev1,45.9,:J21_7,804.97,E103,585.77,evehicle,49.63,2026-01-01 00:00:00
ev1,47.09,E97,817.78,E103,572.96,evehicle,49.63,2026-01-01 00:00:00
ev1,46.87,E97,830.84,E103,559.9,evehicle,49.63,2026-01-01 00:00:00
ev1,45.54,E97,843.5,E103,547.24,evehicle,49.63,2026-01-01 00:00:00
ev1,46.73,E97,856.43,E103,534.31,evehicle,49.63,2026-01-01 00:00:00
ev1,46.98,E97,869.42,E103,521.32,evehicle,49.6,2026-01-01 00:00:00
ev1,37.94,E97,880.94,E103,509.8,evehicle,49.66,2026-01-01 00:00:00
ev1,23.76,E97,888.67,E103,502.07,evehicle,49.69,2026-01-01 00:00:00
ev1,30.92,:J66_14,896.72,E103,494.02,evehicle,49.69,2026-01-01 00:00:00
ev1,38.34,:J66_14,906.83,E103,483.91,evehicle,49.63,2026-01-01 00:00:00
ev1,43.6,:J66_14,918.6,E103,472.14,evehicle,49.6,2026-01-01 00:00:00
ev1,45.5,E192,931.29,E103,459.45,evehicle,49.6,2026-01-01 00:00:00
ev1,47.34,E192,944.21,E103,446.53,evehicle,49.6,2026-01-01 00:00:00
ev1,45.54,E192,956.89,E103,433.85,evehicle,49.6,2026-01-01 00:00:00
ev1,47.34,:J132_11,969.99,E103,420.75,evehicle,49.57,2026-01-01 00:00:00
ev1,47.16,-E196,982.95,E103,407.79,evehicle,49.57,2026-01-01 00:00:00
ev1,45.83,-E196,995.58,E103,395.16,evehicle,49.57,2026-01-01 00:00:00
ev1,46.15,:J135_11,1008.44,E103,382.3,evehicle,49.57,2026-01-01 00:00:00
ev1,45.29,:J135_11,1021.03,E103,369.71,evehicle,49.57,2026-01-01 00:00:00
ev1,47.09,E209,1033.9,E103,356.84,evehicle,49.57,2026-01-01 00:00:00
